@RELATION CLASSES

@ATTRIBUTE atb1 NUMERIC
@ATTRIBUTE atb2 NUMERIC
@ATTRIBUTE atb3 NUMERIC
@ATTRIBUTE atb4 NUMERIC
@ATTRIBUTE atb5 NUMERIC
@ATTRIBUTE atb6 NUMERIC
@ATTRIBUTE atb7 NUMERIC
@ATTRIBUTE atb8 NUMERIC

@ATTRIBUTE class {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}

@DATA
0.988610,3.240175,0.791525,2.893112,0.121951,0.542283,0.864615,1.192338,class_2
0.771605,2.345668,1.204673,4.012618,0.795977,1.897150,1.889789,4.072381,class_2
0.686905,2.482955,0.676871,2.705271,0.069444,0.271811,0.611958,1.922459,class_2
1.079365,3.374313,1.323288,3.848448,2.844444,4.916890,1.197163,4.694284,class_2
1.373995,3.610874,0.788747,2.523133,0.026738,0.161317,0.488189,3.449624,class_2
0.796078,2.173726,0.654791,2.319662,0.218750,0.659384,0.741398,2.860568,class_2
2.551190,5.610131,1.476359,5.490269,3.748062,6.141303,1.054845,1.913273,class_2
1.047170,2.960510,0.569901,3.389717,0.084848,0.278656,0.105353,0.367471,class_2
2.029652,5.735669,0.463576,2.808317,0.148990,0.415026,0.236337,3.266179,class_2
2.321262,5.979585,2.724000,6.073754,0.084559,0.278224,4.449715,6.910160,class_2
0.882494,2.577454,0.807292,2.520613,0.334320,0.598869,0.819594,3.163365,class_2
0.785857,2.987517,1.125000,3.504115,0.646259,2.446162,0.771429,1.012264,class_2
0.638961,2.515828,0.712794,2.517514,0.318584,0.560744,0.664740,1.214607,class_2
1.951899,5.672516,0.888235,2.570050,0.202128,0.667053,0.719583,2.714311,class_3
0.624409,3.910197,0.545351,2.364391,0.038710,0.192902,0.073961,0.269340,class_3
1.025974,4.167512,2.298627,7.851093,0.085185,0.292123,0.085324,0.291324,class_3
2.766927,6.436921,2.476712,6.292864,0.048246,0.233859,2.401544,7.803632,class_3
4.269553,6.989715,2.526376,5.264494,0.094444,0.292446,3.697479,5.478588,class_3
0.155311,0.567071,1.033800,4.048082,0.053191,0.254060,0.148357,0.546916,class_3
1.698232,4.751512,3.163102,6.252069,2.988971,4.565281,2.086741,4.520630,class_3
0.637300,2.953884,0.704545,3.227711,0.025000,0.177533,0.831312,4.050833,class_3
1.235065,2.743695,0.591938,3.670050,0.493333,1.379597,0.446898,2.471408,class_3
1.732017,5.204978,1.362515,5.240036,0.012474,0.119989,2.317618,3.939790,class_3
2.483827,6.626267,2.351765,6.367179,0.033654,0.180337,1.506587,5.070133,class_3
1.303371,4.559481,1.413507,4.635619,0.052000,0.239366,0.260361,0.962204,class_3
2.970842,5.433697,5.136145,7.852067,1.089069,4.290107,2.850949,7.325840,class_3
0.577477,2.537083,0.574037,2.696082,0.030093,0.170842,0.040693,0.214390,class_3
0.060547,0.242557,0.476834,3.382393,0.061224,0.239742,0.077336,0.275049,class_3
1.013072,4.416971,1.088063,3.552524,0.065891,0.263252,1.009132,4.691056,class_3
2.034141,7.570952,2.268478,8.989528,0.032374,0.176992,1.738622,6.207976,class_3
